Department,Job Role,Performance Score,KPI Score,Attendance (%),Peer Rating,Task Completion (%),Work Hours Logged,Manager Feedback,Training Hours,Promotion Eligibility,Attrition
1,11,83,91.48,96.91,4.8,97.58,49,3.4,14,0,0
0,1,92,72.69,99.03,4.1,98.73,54,4.5,10,1,0
2,14,71,62.39,75.49,4.6,80.84,38,3.1,5,0,0
0,2,53,61.01,93.18,4.7,84.28,50,3.2,12,0,0
4,0,75,69.36,87.12,4.8,82.27,44,4.4,0,0,0
2,6,73,88.58,78.42,3.8,72.05,52,4.8,16,0,0
3,4,83,86.51,78.79,4.9,99.48,43,4.2,19,0,0
0,8,67,62.85,76.6,3.8,71.82,52,3.2,24,0,1
1,11,85,73.57,85.75,3.8,71.09,51,3.9,2,0,0
3,12,64,79.48,98.75,4.6,89.46,44,4.0,21,0,0
0,1,92,89.37,95.72,4.8,70.93,45,3.9,3,0,0
4,3,52,60.46,92.52,4.6,87.16,49,3.5,18,0,0
4,3,58,66.35,77.4,3.9,71.62,42,4.0,15,0,1
3,4,61,84.44,84.67,4.6,79.94,44,3.4,20,0,1
1,7,69,73.67,89.24,4.3,72.27,41,3.3,16,0,0
0,1,73,73.41,95.83,4.0,97.73,37,3.7,18,0,0
1,9,91,93.43,88.25,4.4,97.58,50,3.6,19,0,0
2,14,89,92.41,96.04,3.5,93.89,44,3.7,7,0,0
3,10,100,76.05,83.95,4.1,73.2,50,4.1,23,1,0
0,1,59,61.11,78.26,3.0,96.55,35,3.1,12,0,1
1,11,60,92.2,96.47,4.0,99.65,45,4.3,29,0,0
4,0,68,91.06,84.69,3.5,76.79,46,3.2,13,0,1
1,11,65,67.41,94.3,4.4,79.77,47,3.0,30,0,0
4,3,68,79.92,99.5,4.6,82.04,54,3.4,11,0,0
3,10,85,93.7,77.04,3.1,70.18,48,4.6,26,0,0
1,7,100,92.56,93.63,4.0,94.87,50,3.8,2,0,0
0,1,81,80.86,75.29,3.3,79.25,40,4.2,29,0,0
4,0,97,83.83,82.95,5.0,82.2,53,4.7,29,1,0
1,11,93,89.27,77.43,3.9,80.2,41,3.4,30,0,0
1,7,65,61.39,88.39,4.8,99.38,35,5.0,2,0,0
0,1,87,84.58,97.31,4.6,74.96,52,4.4,6,1,0
3,4,67,89.39,87.22,4.2,97.04,41,3.0,30,0,0
2,5,71,74.32,89.62,4.1,87.45,53,3.7,22,0,0
2,14,73,94.09,84.21,3.6,74.29,52,4.0,5,0,0
3,4,70,83.44,92.82,4.5,80.9,39,3.2,9,0,0
2,14,95,66.14,93.46,3.3,92.86,35,4.0,20,0,0
1,11,69,88.67,96.95,3.4,78.69,39,3.5,10,0,0
0,2,51,67.04,88.21,3.3,70.57,40,3.4,9,0,0
3,12,74,74.62,87.29,4.7,78.31,53,4.4,9,0,0
4,0,89,66.98,79.44,4.1,93.99,49,4.9,25,1,0
0,1,55,63.76,78.07,4.4,96.11,43,3.3,29,0,1
3,12,100,77.85,98.96,4.9,99.4,54,4.4,28,1,0
3,10,53,91.27,92.06,4.3,73.77,49,4.7,27,0,0
2,14,85,89.12,99.83,4.3,89.43,39,3.6,27,0,0
3,10,95,81.37,88.09,4.2,81.42,50,3.4,20,0,0
0,1,80,93.92,96.33,4.0,79.26,35,5.0,24,0,0
4,13,89,68.59,93.37,3.6,88.01,42,4.0,29,0,0
2,6,78,64.88,75.76,4.0,82.66,36,4.1,25,0,0
1,7,87,72.71,91.81,3.2,70.53,37,4.3,18,1,0
4,3,69,68.51,99.85,4.0,82.67,49,4.8,23,0,0
3,10,63,72.34,91.38,3.3,92.85,40,4.5,10,0,0
1,7,68,88.79,98.65,4.8,82.72,36,4.9,30,0,0
0,8,60,74.86,80.45,3.9,81.33,46,3.7,29,0,1
0,1,61,66.01,93.02,4.3,93.13,48,3.8,10,0,0
3,4,82,91.11,87.16,4.9,97.63,39,4.3,3,0,0
1,7,77,83.47,77.45,3.5,95.55,51,4.4,15,0,0
3,12,59,62.49,78.74,3.5,89.19,35,4.9,4,0,1
0,2,87,82.84,83.2,4.3,75.63,49,4.4,10,1,0
4,3,88,63.61,84.95,4.9,89.8,41,4.5,28,1,0
0,8,63,89.11,82.6,4.9,96.99,45,4.6,5,0,1
4,13,80,73.94,83.52,4.2,85.29,43,3.7,4,0,0
1,11,91,84.47,89.53,4.5,86.93,44,4.7,11,1,0
3,10,82,85.32,84.22,4.3,98.69,55,3.6,23,0,0
2,6,76,72.37,80.74,3.7,96.2,53,4.2,0,0,0
1,9,83,61.97,93.79,4.2,86.91,53,3.0,26,0,0
4,3,94,70.22,81.05,4.1,98.95,41,3.3,16,0,0
1,7,55,61.91,96.05,3.5,95.43,52,4.1,6,0,0
1,7,70,64.93,99.55,4.9,74.63,37,3.8,4,0,0
0,8,57,64.03,83.62,3.6,73.33,52,3.7,29,0,1
0,1,68,69.35,81.57,4.6,93.75,45,4.9,14,0,1
2,6,64,66.32,93.61,4.5,70.27,52,4.4,2,0,0
3,4,96,71.52,80.62,4.1,83.72,37,3.2,30,0,0
4,0,87,93.59,76.5,4.0,86.67,50,4.0,29,0,0
3,12,85,70.61,78.81,4.7,92.78,51,3.6,10,0,0
0,1,73,92.29,93.66,3.9,81.26,38,3.8,27,0,0
3,4,86,62.94,86.0,4.1,93.43,52,4.9,8,1,0
1,11,96,69.58,92.53,4.9,93.79,41,4.6,2,1,0
3,10,74,94.91,91.43,4.7,73.81,54,4.0,9,0,0
3,10,84,91.62,85.68,4.4,78.13,48,4.0,29,0,0
2,14,89,61.94,82.49,3.2,95.06,44,3.5,16,0,0
0,2,86,78.38,92.79,4.1,76.69,46,4.4,16,1,0
4,0,55,74.28,95.73,4.4,76.67,49,3.9,3,0,0
0,1,73,92.89,91.11,4.2,96.42,38,4.8,29,0,0
4,3,66,87.5,83.23,3.3,99.73,36,4.0,10,0,1
0,1,99,62.15,97.44,3.1,73.27,46,4.2,4,1,0
4,13,79,90.67,99.21,5.0,96.12,49,4.8,0,0,0
1,7,80,75.41,84.97,4.7,71.11,41,3.9,18,0,0
0,8,71,68.2,95.9,4.5,72.63,49,3.1,26,0,0
4,3,57,73.85,95.95,4.1,73.03,55,4.1,7,0,0
0,1,77,85.94,96.56,4.6,77.14,50,4.1,10,0,0
0,1,75,93.96,95.16,3.2,72.88,45,3.5,14,0,0
1,9,95,87.78,98.1,4.2,91.24,45,3.9,6,0,0
3,4,98,77.83,90.06,3.8,70.22,41,4.9,18,1,0
2,5,59,70.8,92.99,4.9,95.76,37,4.4,28,0,0
1,9,91,88.79,99.39,4.0,88.02,47,5.0,1,1,0
4,0,60,71.84,99.47,3.7,76.83,50,4.4,1,0,0
1,9,91,62.38,92.08,3.1,93.77,42,4.7,23,1,0
1,7,86,75.24,89.7,3.9,94.16,37,4.5,8,1,0
4,13,72,74.95,86.63,3.0,88.1,50,3.3,22,0,0
1,7,77,73.91,90.22,3.6,77.5,37,4.4,12,0,0
3,12,66,84.67,79.1,3.8,71.76,43,3.8,6,0,1
4,3,67,84.77,98.68,3.3,93.06,37,4.4,24,0,0
1,11,91,90.55,79.89,4.4,84.26,40,4.5,24,1,0
2,5,70,70.15,81.4,4.3,71.92,48,3.1,15,0,0
0,8,74,84.51,82.61,3.7,99.65,38,4.0,18,0,0
2,14,77,92.74,82.77,5.0,94.58,55,3.7,28,0,0
4,0,67,71.01,80.16,3.0,79.62,51,3.1,8,0,1
1,9,70,61.26,99.12,3.7,94.03,51,3.9,0,0,0
4,3,55,65.55,85.32,4.4,83.68,53,4.2,6,0,0
0,1,98,86.44,97.96,4.4,70.79,36,3.4,28,0,0
4,0,55,92.89,83.0,4.2,77.92,54,3.3,23,0,1
2,14,70,61.26,85.76,3.9,80.92,41,4.2,4,0,0
2,6,52,86.9,88.68,4.1,88.65,48,3.5,10,0,0
2,14,92,72.41,77.62,3.3,92.52,41,3.8,10,0,0
0,1,62,65.11,88.21,4.3,75.91,52,4.6,0,0,0
4,13,56,76.23,98.59,4.9,76.37,51,5.0,28,0,0
3,10,52,66.53,90.69,4.2,90.86,48,4.8,15,0,0
0,1,93,78.19,90.77,3.7,76.85,48,4.7,15,1,0
2,5,88,61.65,79.11,4.8,70.84,48,4.4,10,1,0
3,10,74,84.7,83.71,3.9,90.73,35,4.4,18,0,0
0,2,96,78.7,79.53,4.9,81.63,39,4.4,10,1,0
4,13,83,74.01,81.97,3.4,86.9,38,3.5,8,0,0
2,14,65,81.27,92.81,4.4,82.43,46,4.7,17,0,0
4,13,86,91.18,76.6,4.2,79.81,38,5.0,1,1,0
3,4,68,92.45,91.79,3.9,78.59,48,3.4,13,0,0
0,8,74,82.98,99.96,3.8,97.7,54,3.3,4,0,0
1,9,68,87.95,78.03,4.5,73.83,40,4.6,29,0,1
2,6,83,62.79,96.12,4.0,76.85,40,4.6,12,0,0
0,8,78,60.26,85.88,3.6,94.01,36,4.9,0,0,0
1,11,69,74.55,84.15,4.0,73.53,50,3.4,22,0,1
1,7,61,70.9,93.47,3.4,95.23,46,4.9,27,0,0
2,5,100,93.21,97.8,3.9,81.52,46,4.4,16,1,0
1,9,74,66.95,98.45,3.5,73.94,44,4.8,21,0,0
4,13,55,70.8,77.84,4.8,87.54,48,4.5,28,0,1
0,1,58,65.24,81.69,3.8,79.55,46,4.5,21,0,1
4,13,59,93.0,86.3,3.8,80.47,55,3.7,4,0,0
0,1,50,78.98,88.34,4.9,96.02,49,3.3,15,0,0
2,14,88,62.02,82.73,4.5,83.98,39,4.6,2,1,0
1,11,77,85.98,77.34,5.0,91.68,46,4.0,0,0,0
0,2,76,75.39,94.04,4.2,75.46,51,3.1,19,0,0
1,11,68,80.11,86.73,3.9,90.48,41,4.8,5,0,0
0,2,100,80.29,94.48,3.9,93.66,55,4.3,22,1,0
4,0,53,82.4,89.21,3.3,93.84,54,4.2,7,0,0
4,13,87,75.97,83.78,3.1,87.26,46,3.7,9,0,0
0,1,84,61.43,96.86,3.1,75.16,37,4.4,5,0,0
0,2,81,91.37,89.07,4.0,89.4,48,3.9,20,0,0
2,5,76,76.35,85.76,4.8,85.23,43,4.5,1,0,0
1,7,77,73.63,86.19,3.9,78.49,37,3.6,16,0,0
2,5,52,84.92,81.84,4.3,84.0,46,4.3,7,0,1
3,10,70,75.89,84.86,3.9,97.51,51,3.4,11,0,0
1,9,84,87.54,80.8,4.5,89.24,47,3.7,6,0,0
2,6,78,68.09,76.99,3.2,77.48,43,4.4,8,0,0
4,3,50,76.79,95.84,4.8,89.64,53,3.5,9,0,0
1,7,72,70.47,84.32,4.7,98.73,51,3.7,28,0,0
4,13,50,79.26,92.74,4.2,99.48,37,4.9,3,0,0
0,1,91,74.97,82.44,4.9,82.18,44,3.1,3,0,0
3,4,100,74.32,95.0,4.2,76.51,55,4.0,1,0,0
3,4,74,70.93,81.05,3.5,92.34,50,3.7,1,0,0
2,6,57,86.05,87.22,3.3,73.3,53,3.9,27,0,0
4,3,82,65.11,93.76,4.1,94.66,55,4.9,14,0,0
2,5,75,87.45,87.0,3.9,98.72,38,4.0,30,0,0
1,11,55,91.12,99.86,3.9,86.13,38,3.4,25,0,0
1,9,58,74.11,92.12,4.7,85.23,49,3.5,11,0,0
0,1,90,75.12,92.11,4.1,72.44,39,4.9,24,1,0
4,0,60,61.9,89.02,4.9,94.18,46,4.7,23,0,0
2,14,100,76.01,77.34,4.9,82.52,46,4.5,14,1,0
0,8,64,86.28,96.12,4.0,80.18,35,4.1,23,0,0
4,3,71,65.37,80.68,3.9,98.37,46,4.2,2,0,0
0,2,95,81.0,87.11,4.4,70.09,43,3.7,16,0,0
1,7,70,62.89,79.18,3.3,94.31,55,4.1,3,0,0
0,8,74,84.19,83.06,3.8,85.99,38,3.9,22,0,0
3,4,61,85.39,81.39,4.3,91.99,42,3.7,12,0,1
0,1,78,79.94,77.57,4.0,91.28,53,3.2,12,0,0
4,3,78,67.37,77.56,3.3,96.98,47,3.4,8,0,0
3,12,94,89.9,94.62,4.6,79.69,46,4.6,25,1,0
3,10,74,80.06,82.16,4.7,90.64,50,4.1,2,0,0
3,12,61,94.29,96.61,4.3,84.12,37,3.8,4,0,0
4,0,81,79.43,97.97,4.3,78.47,43,4.0,13,0,0
0,2,52,65.82,88.38,3.3,71.97,41,3.4,7,0,0
1,7,62,63.61,99.6,3.6,74.46,49,4.0,3,0,0
1,11,76,82.21,75.3,4.6,77.43,38,3.7,1,0,0
2,14,57,60.09,98.14,5.0,95.6,50,3.2,21,0,0
2,5,66,89.78,98.55,4.6,96.44,44,4.5,26,0,0
2,14,69,89.93,82.56,4.9,97.05,54,4.1,0,0,1
0,8,61,66.56,85.89,4.3,99.75,53,3.3,18,0,0
3,10,87,65.39,95.04,4.6,93.22,51,4.5,16,1,0
4,13,59,70.92,82.95,4.6,88.65,42,4.5,5,0,1
1,7,81,81.49,88.19,3.8,77.48,48,3.4,9,0,0
0,1,77,72.56,86.28,5.0,73.47,35,3.3,5,0,0
0,8,77,85.41,96.32,3.4,79.38,40,3.4,0,0,0
2,14,68,90.72,78.87,4.3,74.82,48,3.5,14,0,1
1,11,80,90.9,79.01,4.2,92.52,37,4.0,4,0,0
2,14,93,71.17,85.89,4.6,94.33,51,3.7,0,0,0
0,1,92,61.93,89.57,3.4,80.95,37,3.0,13,0,0
0,1,88,60.06,88.87,4.1,99.9,53,3.8,11,0,0
1,7,52,67.48,99.94,3.8,81.24,38,4.7,7,0,0
4,0,72,61.0,85.17,4.4,76.67,55,3.9,30,0,0
2,5,70,64.87,96.29,4.1,72.16,43,4.7,0,0,0
0,8,75,64.56,79.04,4.9,75.51,47,3.5,26,0,0
4,13,99,74.47,93.27,3.5,89.08,55,4.1,18,1,0
3,4,53,65.51,75.84,3.4,70.65,52,3.9,30,0,1
3,4,81,88.09,96.21,5.0,70.4,36,4.0,2,0,0
3,12,66,86.75,81.42,4.4,91.19,44,3.1,21,0,1
3,12,65,74.19,96.86,4.8,77.15,43,3.6,24,0,0
3,12,92,79.7,91.54,4.8,91.91,35,3.7,30,0,0
4,13,84,68.25,84.86,3.5,78.2,51,5.0,0,0,0
3,10,81,91.98,98.62,4.6,78.97,35,3.9,16,0,0
0,1,83,84.46,95.99,3.1,76.63,41,3.4,21,0,0
2,14,88,81.96,96.31,3.0,71.65,45,3.1,3,0,0
2,6,59,92.38,87.85,4.7,80.24,51,4.8,21,0,0
2,5,70,70.16,83.93,3.1,89.11,51,3.1,21,0,0
3,10,69,68.07,98.6,3.8,72.8,48,3.9,30,0,0
4,13,80,65.2,84.5,4.1,78.03,52,4.4,0,0,0
3,12,73,67.95,76.32,3.3,74.11,51,3.7,20,0,0
1,9,63,77.68,82.55,4.2,90.01,45,3.2,21,0,1
3,4,50,61.67,97.48,3.6,73.15,47,4.5,21,0,0
4,3,53,63.6,90.8,4.4,92.77,42,4.0,17,0,0
1,9,54,92.36,82.11,4.0,70.09,50,3.7,18,0,1
3,4,84,67.44,79.15,4.8,70.8,48,4.7,19,0,0
0,1,94,91.53,88.58,4.4,91.0,41,3.6,16,0,0
4,3,51,60.44,99.05,4.7,71.23,42,3.3,4,0,0
3,12,52,68.72,97.3,3.6,90.3,46,4.8,8,0,0
0,8,60,75.4,82.03,4.6,76.18,45,3.4,25,0,1
1,11,50,63.52,75.13,4.4,71.86,41,3.4,21,0,1
4,0,89,60.81,83.85,3.0,76.8,40,3.8,11,0,0
1,11,61,91.65,78.77,3.4,96.25,47,4.5,0,0,1
1,7,54,90.6,75.48,3.2,81.24,44,3.5,28,0,1
0,8,100,76.12,85.91,4.5,97.24,53,4.4,15,1,0
0,8,66,70.86,91.27,3.2,74.12,49,3.2,4,0,0
4,0,85,68.22,81.55,4.1,93.93,43,3.6,26,0,0
2,14,61,85.46,76.82,3.5,90.11,39,4.2,10,0,1
4,0,90,60.8,80.94,3.3,99.48,49,4.6,2,1,0
2,5,74,81.45,97.57,3.2,79.58,46,4.6,12,0,0
2,6,52,87.45,82.72,4.5,86.22,39,4.0,13,0,1
3,4,93,83.62,95.61,3.5,97.75,41,4.2,4,1,0
2,5,61,63.77,98.57,3.3,78.33,39,3.5,18,0,0
2,14,85,80.56,88.51,3.2,84.48,48,4.6,3,0,0
1,11,62,61.09,83.79,4.2,96.51,38,5.0,2,0,1
4,13,63,73.03,84.32,4.9,93.75,42,3.5,21,0,1
4,3,95,79.56,89.58,4.5,93.55,55,4.9,4,1,0
0,2,90,89.16,98.13,4.5,81.51,38,3.1,24,0,0
4,3,66,82.73,96.64,4.4,96.94,42,4.3,14,0,0
3,4,57,68.65,91.12,3.6,81.25,54,4.8,14,0,0
0,1,54,77.79,87.8,4.0,72.05,39,4.2,3,0,0
2,14,79,81.86,94.45,4.4,80.84,40,4.8,20,0,0
2,5,59,70.76,76.73,3.8,83.76,50,4.4,19,0,1
0,8,62,93.13,87.09,4.7,92.25,39,4.8,30,0,0
2,6,61,86.1,91.63,4.2,96.49,43,4.4,18,0,0
1,11,89,94.92,96.61,4.2,76.22,54,3.7,9,0,0
4,3,66,69.64,91.97,3.8,81.79,49,5.0,5,0,0
2,14,92,70.0,78.46,3.2,80.6,53,4.0,5,0,0
4,3,94,60.02,95.15,4.8,98.34,45,3.3,19,0,0
3,10,85,92.01,95.36,3.1,99.51,45,3.4,25,0,0
4,13,73,72.48,85.09,4.5,76.91,38,4.2,10,0,0
3,4,89,70.39,88.22,3.9,73.09,50,3.5,13,0,0
2,6,83,94.0,94.01,4.5,87.44,37,3.3,27,0,0
3,12,66,69.98,87.31,3.7,80.38,35,3.1,9,0,0
4,0,95,89.63,88.48,3.4,94.0,43,3.3,4,0,0
3,12,68,67.7,91.21,3.2,80.79,35,4.4,21,0,0
0,8,62,91.45,94.96,4.6,72.25,47,3.8,19,0,0
4,0,51,81.52,93.68,3.1,74.3,43,5.0,10,0,0
3,12,69,91.37,95.19,3.6,85.95,37,3.9,22,0,0
1,9,59,93.55,78.99,4.4,80.93,44,3.7,11,0,1
3,12,97,91.43,85.54,4.6,70.77,36,4.9,18,1,0
1,11,56,64.45,98.82,3.8,94.33,42,3.7,11,0,0
2,6,93,70.09,81.84,4.9,83.42,47,4.8,2,1,0
0,1,76,64.75,99.45,4.5,72.12,50,4.9,26,0,0
1,9,58,76.24,75.29,4.2,79.83,54,3.7,13,0,1
3,12,72,87.36,82.37,4.5,87.96,39,3.3,20,0,0
3,10,76,73.38,79.46,4.4,96.89,47,3.6,23,0,0
0,8,68,94.41,98.53,4.3,72.07,54,4.9,1,0,0
3,4,88,85.6,77.73,3.1,85.59,37,3.4,4,0,0
4,0,98,90.08,79.34,4.0,81.44,38,4.8,22,1,0
2,6,65,74.33,79.89,4.9,91.16,40,5.0,21,0,1
2,6,86,69.84,78.65,4.8,92.09,49,3.8,0,0,0
2,14,51,92.4,89.92,3.5,94.57,48,4.4,4,0,0
0,1,86,65.99,98.44,4.0,70.44,53,3.4,28,0,0
3,10,74,69.59,82.61,4.0,86.9,35,3.2,17,0,0
2,14,96,62.24,98.25,4.9,96.04,39,4.7,20,1,0
2,5,64,94.07,97.16,3.1,80.07,44,4.2,2,0,0
4,0,97,91.15,80.17,4.4,97.97,40,4.7,30,1,0
4,13,52,66.57,98.54,4.2,76.19,39,4.6,13,0,0
2,5,56,88.77,85.43,4.2,76.66,54,3.6,4,0,0
4,3,50,61.66,80.14,4.6,70.85,46,3.2,18,0,1
3,12,97,82.62,75.56,3.4,72.06,43,3.0,4,0,0
0,1,90,63.51,76.3,3.9,85.72,36,3.9,28,0,0
3,12,52,81.68,84.31,3.6,82.48,50,4.8,24,0,1
0,2,96,90.03,82.5,3.6,80.37,48,3.8,11,0,0
0,1,55,88.78,88.81,3.3,94.9,54,4.7,11,0,0
0,2,77,70.99,86.79,4.0,94.65,50,4.2,3,0,0
1,7,82,87.34,88.44,3.1,89.46,51,3.9,11,0,0
2,5,80,80.82,87.53,4.1,92.55,50,3.9,18,0,0
4,3,90,66.24,96.26,3.3,73.95,55,5.0,26,1,0
2,5,84,74.98,90.71,3.3,87.07,44,4.3,0,0,0
3,4,81,85.61,94.38,3.1,81.02,42,5.0,18,0,0
4,3,72,85.28,88.73,4.1,77.72,44,3.2,2,0,0
3,12,95,86.93,76.93,3.5,95.14,41,3.0,26,0,0
2,6,90,87.33,93.05,3.5,99.31,48,3.6,15,0,0
0,8,85,72.62,81.38,3.2,90.71,51,4.6,29,0,0
1,11,61,90.62,81.58,3.8,90.23,54,4.2,3,0,1
3,10,51,76.65,78.81,5.0,80.35,42,3.4,25,0,1
0,8,79,66.91,89.67,3.7,81.48,54,3.8,14,0,0
0,8,96,93.89,93.42,3.5,85.3,53,3.0,11,0,0
4,3,82,91.87,96.03,3.5,75.14,49,3.2,27,0,0
2,6,96,81.12,99.01,4.8,85.89,55,3.4,1,0,0
3,10,63,73.95,86.07,4.5,99.81,42,3.7,29,0,0
4,3,86,94.42,75.78,3.3,95.54,53,5.0,1,1,0
3,10,98,79.43,94.37,4.0,89.24,38,3.2,10,0,0
2,5,54,79.45,77.14,4.8,87.3,46,4.0,17,0,1
1,7,80,86.33,82.34,3.5,89.36,49,4.7,15,0,0
2,14,72,73.06,90.16,4.9,77.22,51,4.5,23,0,0
4,3,96,80.11,81.5,3.1,82.42,36,4.4,26,1,0
4,13,53,75.36,76.53,3.4,96.21,50,4.5,4,0,1
4,3,73,93.87,86.64,3.4,70.84,36,3.6,18,0,0
1,11,96,88.12,90.16,3.6,81.36,40,3.4,29,0,0
2,6,74,68.5,76.43,3.6,82.21,44,5.0,10,0,0
0,1,94,94.19,78.77,5.0,75.44,55,4.1,5,1,0
2,6,89,76.11,96.2,4.7,70.51,52,4.3,9,1,0
4,3,89,67.18,82.28,4.4,99.62,45,4.0,18,0,0
0,2,97,64.41,81.82,3.2,89.68,35,4.1,6,1,0
2,5,86,70.24,97.27,4.2,72.96,36,4.7,10,1,0
4,13,77,83.58,97.72,3.2,92.64,40,3.3,26,0,0
0,1,92,66.85,95.78,4.4,94.94,49,4.0,0,0,0
3,10,76,88.04,77.68,3.5,94.58,48,4.2,23,0,0
4,0,69,70.35,75.84,3.6,86.64,40,3.5,5,0,1
4,3,51,72.99,78.19,4.3,87.46,39,3.0,6,0,1
1,7,85,92.0,98.81,4.3,97.01,43,4.0,20,0,0
4,13,75,83.43,99.94,3.5,75.94,38,3.5,28,0,0
3,4,72,92.76,95.33,4.2,86.88,55,5.0,24,0,0
0,8,65,89.75,98.77,4.9,82.95,55,4.7,12,0,0
2,14,59,84.48,95.34,4.3,73.02,47,3.9,24,0,0
1,11,97,90.95,96.87,3.2,84.85,53,4.3,13,1,0
4,0,96,88.12,97.29,4.9,98.77,35,4.7,29,1,0
0,2,87,70.49,75.59,3.3,73.42,53,4.0,14,0,0
1,7,64,81.13,79.07,4.6,96.63,41,3.6,25,0,1
3,10,59,80.17,76.09,4.3,99.94,37,3.5,0,0,1
3,4,77,89.32,96.53,3.5,87.41,37,4.6,2,0,0
1,9,93,90.12,96.29,4.8,70.51,48,4.9,28,1,0
1,11,61,91.1,96.19,4.0,78.2,44,4.3,3,0,0
1,9,99,72.1,97.29,3.4,98.61,53,4.9,28,1,0
2,6,64,79.25,87.33,3.0,79.82,54,4.3,0,0,0
1,11,57,66.79,90.47,3.3,90.56,46,4.3,0,0,0
